ID;City;Area;Street;Name;Info;Lng;Lat;Stops;StopNum;Pikas2012.11.19
204367;0;0;0;?;;0;0;;s204367
133298;0;0;0;1 АП;;0;0;;s133298
16100;0;0;0;13-й км;;2750898;5398767;16101,16099;s16100
16101;0;0;0;;;2750636;5398799;16100,16102;s16101
132158;0;0;0;14-км;;2767362;5402194;132159,72808;s132158
132159;0;0;0;;;2767268;5402204;132158,132161;s132159
151184;0;0;0;2 - ой Прилукский пер. (временная);;2748697;5388193;54197,15214;s151184
133297;0;0;0;2 АП;;0;0;;s133297
133303;0;0;0;2 ТП;;0;0;;s133303
14580;0;0;0;21-я п-ка;;2763134;5387011;14581,58375;s14580
14581;0;0;0;;;2763076;5386960;14580,14510,14550;s14581
16094;0;0;0;2-е ворота;;2755694;5398317;16096,16079;s16094
16136;0;0;0;;;2784015;5390678;16137,16138;s16136
16137;0;0;0;;;2784067;5390641;16136;s16137
15301;0;0;0;2-й Летний пер.;;2768248;5387541;15339,15342,15321;s15301
15339;0;0;0;;;2768236;5387467;15301,15300;s15339
133296;0;0;0;3 ТП;;0;0;;s133296
15124;0;0;0;3-го Сентября;;2751281;5390512;15126,15123;s15124
15126;0;0;0;3-го Сентября ул.;;2751338;5390502;15124,15127;s15126
133299;0;0;0;4 АП;;0;0;;s133299
133304;0;0;0;4 ТП;;0;0;;s133304
205176;0;0;0;40 лет Победы;;2767671;5399031;205177,205178;s205176
205177;0;0;0;;;2767840;5398943;205176,205174;s205177
15935;0;0;0;4-я больница;;2751662;5389102;15928,15206;s15935
133301;0;0;0;5 АП;;0;0;;s133301
133305;0;0;0;5 ТП;;0;0;;s133305
14582;0;0;0;5-я больница;;2763275;5387233;58375,15618;s14582
58375;0;0;0;;;2763426;5387116;14582,58366,14580;s58375
133300;0;0;0;6 АП;;0;0;;s133300
133302;0;0;0;7 АП;;0;0;;s133302
133120;0;0;0;9-я  больница  с 8.00 до 9.00;;2749715;5386020;15689,15691,143037;s133120
133121;0;0;0;9-я  больница с 16.00 до 17.00;;2749762;5386116;15691,15688;s133121
71952;0;0;0;А. Гаруна;;2744419;5392286;71953,71954;s71952
71953;0;0;0;;;2744321;5392355;71952,133193;s71953
132255;0;0;0;АВ Восточный;;2759958;5387778;15831,14795;s132255
14797;0;0;0;;;2759509;5387750;54310,14796;s14797
15831;0;0;0;;;2759857;5387829;132255,54310,15830;s15831
54310;0;0;0;;;2759719;5387746;15831,14797;s54310
15442;0;0;0;АВ Московский;;2763937;5392991;15418,14422;s15442
133147;0;0;0;АВ Центральный;;2755616;5388998;133372,212036;s133147
133372;0;0;0;;;2755538;5388987;133147,69093;s133372
69093;0;0;0;;;2755549;5389041;133372,15443,15896;s69093
54189;0;0;0;Автобусный парк №1;;2757021;5387132;15447,14726,14804;s54189
54191;0;0;0;Автобусный парк №2;;2757753;5386308;15449,15795;s54191
54193;0;0;0;Автобусный парк №4;;2759195;5390423;15480,15315;s54193
54194;0;0;0;Автобусный парк №5;;2748450;5388317;15214,14905;s54194
14584;0;0;0;Автобусный парк №6;;2765557;5384995;14586,14622;s14584
14586;0;0;0;;;2765453;5384974;14584,14624,54246;s14586
14618;0;0;0;;;2765326;5384742;54246,195092;s14618
14624;0;0;0;;;2765364;5385029;14586,14585;s14624
195092;0;0;0;;;2765362;5384587;14618,14617;s195092
54246;0;0;0;;;2765361;5384757;14618,14586;s54246
54225;0;0;0;Автобусный парк №7;;2759866;5395383;14461,14460;s54225
73207;0;0;0;Автозаводская;;2764842;5386909;15295,15346,15294,15704;s73207
191180;0;0;0;Автокомбинат №5;;2758748;5380803;15995,15996,191181;s191180
73665;0;0;0;Автостоянка~(высадка пассажиров);;2741512;5388957;73663,73666;s73665
230034;0;0;0;Агроусадьба;;2767593;5376087;143044,16176;s230034
15194;0;0;0;АЗС;;2748703;5390037;14849,14851,15169;s15194
16011;0;0;0;;;2760348;5396778;16010,16008;s16011
91040;0;0;0;;;2753947;5395967;91041,91043;s91040
91041;0;0;0;;;2753827;5395992;91040,14968,197231;s91041
